Student Id,Emotion label,Emotion Probability,Corresponding Weights,Focus Probability,Calculated MES,Engagement Detected (PREDICTED),Ground Truth (ACTUAL) 
439,sad,0.75,0.8,0.67,1.2712,not engaged,not engaged
440,sad,0.68,0.8,0.70,1.2475,not engaged,not engaged
441,angry,0.63,2.53,0.54,2.1377,not engaged,not engaged
442,neutral,0.67,4.12,0.59,3.3622,engaged,engaged
443,neutral,0.62,4.12,0.65,3.2061,engaged,engaged
444,fear,0.72,3.05,0.56,2.7607,not engaged,not engaged
445,disgust,0.65,2.72,0.51,2.2786,not engaged,not engaged
446,surprise,0.69,3.48,0.62,3.0291,engaged,engaged
447,surprise,0.61,3.48,0.57,2.6969,not engaged,not engaged
448,neutral,0.62,4.12,0.55,3.1019,engaged,engaged
449,sad,0.68,0.8,0.53,1.0722,not engaged,not engaged
450,angry,0.72,2.53,0.57,2.3798,not engaged,not engaged
451,neutral,0.73,4.12,0.71,3.7265,engaged,engaged
452,sad,0.74,0.8,0.59,1.1871,not engaged,not engaged
453,surprise,0.75,3.48,0.49,3.0881,engaged,engaged
454,sad,0.61,0.8,0.52,1.0131,not engaged,not engaged
455,sad,0.63,0.8,0.61,1.1129,not engaged,not engaged
456,disgust,0.76,2.72,0.55,2.6271,not engaged,not engaged
457,surprise,0.72,3.48,0.72,3.2432,engaged,engaged
458,sad,0.67,0.8,0.57,1.1059,not engaged,not engaged
459,fear,0.77,3.05,0.55,2.8919,not engaged,not engaged
460,disgust,0.73,2.72,0.62,2.6182,not engaged,not engaged
461,neutral,0.78,4.12,0.66,3.8598,engaged,engaged
462,sad,0.60,0.8,0.68,1.1585,not engaged,not engaged
463,disgust,0.70,2.72,0.59,2.4797,not engaged,not engaged
464,fear,0.69,3.05,0.56,2.6663,not engaged,not engaged
465,fear,0.63,3.05,0.69,2.6095,not engaged,engaged
466,sad,0.67,0.8,0.74,1.2719,not engaged,not engaged
467,happy,0.73,4.3,0.53,3.6801,engaged,engaged
468,disgust,0.78,2.72,0.74,2.8639,not engaged,not engaged
469,disgust,0.60,2.72,0.65,2.2654,not engaged,not engaged
470,angry,0.72,2.53,0.65,2.4746,not engaged,not engaged
471,fear,0.62,3.05,0.68,2.5878,not engaged,not engaged
472,neutral,0.77,4.12,0.56,3.7258,engaged,engaged
473,happy,0.76,4.3,0.73,4.0196,engaged,engaged
474,neutral,0.62,4.12,0.55,3.0850,engaged,engaged
475,disgust,0.79,2.72,0.50,2.6508,not engaged,engaged
476,fear,0.73,3.05,0.72,2.9433,not engaged,not engaged
477,disgust,0.64,2.72,0.62,2.3706,not engaged,not engaged
478,happy,0.73,4.3,0.71,3.8617,engaged,engaged
479,disgust,0.65,2.72,0.60,2.3718,not engaged,not engaged
480,sad,0.72,0.8,0.57,1.1438,not engaged,not engaged
481,happy,0.70,4.3,0.64,3.6653,engaged,engaged
482,happy,0.65,4.3,0.74,3.5152,engaged,engaged
483,surprise,0.67,3.48,0.56,2.9010,not engaged,not engaged
484,neutral,0.64,4.12,0.65,3.2862,engaged,engaged
485,neutral,0.68,4.12,0.69,3.5067,engaged,engaged
486,fear,0.70,3.05,0.52,2.6642,not engaged,not engaged
487,neutral,0.64,4.12,0.59,3.2505,engaged,engaged
488,fear,0.72,3.05,0.50,2.6999,not engaged,not engaged
489,fear,0.79,3.05,0.63,3.0449,engaged,engaged
490,happy,0.63,4.3,0.75,3.4486,engaged,engaged
491,happy,0.71,4.3,0.45,3.5232,engaged,engaged
492,surprise,0.73,3.48,0.64,3.1721,engaged,engaged
493,happy,0.71,4.3,0.57,3.6384,engaged,engaged
494,neutral,0.73,4.12,0.49,3.4828,engaged,engaged
495,neutral,0.78,4.12,0.59,3.8220,engaged,engaged
496,disgust,0.64,2.72,0.63,2.3819,not engaged,not engaged
497,happy,0.77,4.3,0.59,3.9024,engaged,engaged
498,angry,0.73,2.53,0.68,2.5204,not engaged,not engaged
499,fear,0.64,3.05,0.72,2.6876,not engaged,engaged
500,disgust,0.67,2.72,0.78,2.6024,not engaged,not engaged
